control	number
0	dgrp101
0	dgrp105
0	dgrp109
0	dgrp129
0	dgrp136
0	dgrp138
0	dgrp142
0	dgrp149
0	dgrp153
0	dgrp158
0	dgrp161
0	dgrp177
0	dgrp181
0	dgrp189
0	dgrp195
0	dgrp208
0	dgrp21
0	dgrp217
0	dgrp223
0	dgrp229
0	dgrp235
0	dgrp237
0	dgrp239
0	dgrp26
0	dgrp280
0	dgrp287
0	dgrp301
0	dgrp303
0	dgrp306
0	dgrp307
0	dgrp309
0	dgrp310
0	dgrp313
0	dgrp317
0	dgrp320
0	dgrp321
0	dgrp324
0	dgrp332
0	dgrp335
0	dgrp336
0	dgrp338
0	dgrp340
0	dgrp348
0	dgrp350
0	dgrp352
0	dgrp354
0	dgrp356
0	dgrp358
0	dgrp360
0	dgrp361
0	dgrp362
0	dgrp365
0	dgrp367
0	dgrp370
0	dgrp371
0	dgrp373
0	dgrp377
0	dgrp379
0	dgrp38
0	dgrp380
0	dgrp382
0	dgrp383
0	dgrp385
0	dgrp386
0	dgrp390
0	dgrp392
0	dgrp395
0	dgrp397
0	dgrp399
0	dgrp40
0	dgrp405
0	dgrp406
0	dgrp409
0	dgrp42
0	dgrp426
0	dgrp427
0	dgrp437
0	dgrp439
0	dgrp440
0	dgrp441
0	dgrp443
0	dgrp45
0	dgrp461
0	dgrp486
0	dgrp492
0	dgrp502
0	dgrp508
0	dgrp513
0	dgrp517
0	dgrp530
0	dgrp531
0	dgrp535
0	dgrp551
0	dgrp555
0	dgrp559
0	dgrp563
0	dgrp57
0	dgrp584
0	dgrp589
0	dgrp59
0	dgrp595
0	dgrp627
0	dgrp630
0	dgrp634
0	dgrp639
0	dgrp646
0	dgrp69
0	dgrp703
0	dgrp705
0	dgrp707
0	dgrp712
0	dgrp714
0	dgrp716
0	dgrp721
0	dgrp73
0	dgrp730
0	dgrp732
0	dgrp737
0	dgrp738
0	dgrp748
0	dgrp75
0	dgrp761
0	dgrp765
0	dgrp774
0	dgrp776
0	dgrp783
0	dgrp786
0	dgrp787
0	dgrp790
0	dgrp796
0	dgrp799
0	dgrp801
0	dgrp802
0	dgrp804
0	dgrp808
0	dgrp810
0	dgrp818
0	dgrp819
0	dgrp820
0	dgrp821
0	dgrp822
0	dgrp83
0	dgrp837
0	dgrp843
0	dgrp85
0	dgrp850
0	dgrp852
0	dgrp853
0	dgrp855
0	dgrp857
0	dgrp859
0	dgrp861
0	dgrp879
0	dgrp88
0	dgrp882
0	dgrp884
0	dgrp890
0	dgrp892
0	dgrp894
0	dgrp897
0	dgrp900
0	dgrp907
0	dgrp908
0	dgrp91
0	dgrp911
0	dgrp913
0	dgrp93
0	dgrpxxx
1	w1118
